licence number,establishment name,location address line 1,location address line 2,location address city,location postal code,licence type,licence sub type,capacity
306290,Alpine Grind Coffee House & Eatery,2104 Columbia Ave.,,ROSSLAND,V0G1Y0,Food Primary,,45
302135,Alpine Marine Adventure Centre,2550 Beacon Ave.,,SIDNEY,V8L3Y3,Food Primary,,62
302017,Alpine Meadows Resort Restaurant,3338 Dunn Lake Road,,CLEARWATER,V0E1N0,Food Primary,,200
304264,Alta Bistro,UNIT 104 4319 MAIN ST,,WHISTLER,V0N1B4,Food Primary,,119
302339,Alto Kitchen and Bar,2040 Summit Drive,,PANORAMA,V0A1T0,Food Primary,,213
305226,Altus Wines Inc.,,,,,Agent,,
306523,Alumni Centre Cafe,6163 University Blvd.,,VANCOUVER,V6T1Z1,Food Primary,,129
189610,Alvin Garden Inc.,4850 Imperial St,,BURNABY,V5J1C4,Food Primary,,50
308576,Amaranthus ,112-810 Quayside Drive,,NEW WESTMINSTER,V3M6B9,Food Primary,,26
178278,Amarin Thai Restaurant,2903 31st Street,,VERNON,V1T5H6,Food Primary,,50
304160,Amati (Enterprises) Corporation,,,,,Agent,,
301316,Ambrosia,6910 Main St,,OSOYOOS,V0H1V3,Food Primary,,57
215671,Ambrosia and R.S. Events,638 FISGARD ST,,VICTORIA,V8W1R6,Food Primary,,200
301852,Amica Arbutus Manor,2125 Eddington Dr,,VANCOUVER,V6L3A9,Food Primary,,325
301399,Amica At West Vancouver,659 Clyde Avenue,,WEST VANCOUVER,V7T1C8,Food Primary,,268
307322,Amica Lions Gate,701 Keith RD,,WEST VANCOUVER,V7T1M2,Food Primary,,139
